Job Titles,Department,Annual Salary
SERGEANT,DEPARTMENT OF POLICE,125634
ASST TO THE ALDERMAN,CITY COUNCIL,69360
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,106464
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,90036
ASST CHIEF AIRPORT OPERATIONS SUPVSR,DEPARTMENT OF AVIATION,129528
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,106464
CLERK - BD OF ELECTIONS,BOARD OF ELECTION COMMISSIONER,33180
AUDITOR I,DEPARTMENT OF FINANCE,77052
SERGEANT,DEPARTMENT OF POLICE,133860
LIEUTENANT,DEPARTMENT OF POLICE,141552
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,121806
SERGEANT,DEPARTMENT OF POLICE,121806
SERGEANT,DEPARTMENT OF POLICE,133860
SENIOR BUSINESS CONSULTANT,BUS AFFAIRS AND CONSUMER PROT,74424
EPIDEMIOLOGIST II,DEPARTMENT OF PUBLIC HEALTH,82500
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
WATER RATE TAKER,DEPT OF WATER MANAGEMENT,102696
CHIEF FILTRATION ENGINEER,DEPT OF WATER MANAGEMENT,132780
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,90036
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,74844
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,86016
SERGEANT,DEPARTMENT OF POLICE,125634
PUBLIC HEALTH NUTRITIONIST I,DEPARTMENT OF PUBLIC HEALTH,50544
INTAKE AIDE,COPA,51372
DIR OF ADMINISTRATION I,DEPARTMENT OF PUBLIC HEALTH,64992
SERGEANT,DEPARTMENT OF POLICE,133860
SUPERVISING TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,68196
TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,44292
SERGEANT,DEPARTMENT OF POLICE,129666
LIBRARY DIVISION CHIEF,CHICAGO PUBLIC LIBRARY,101580
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
SERGEANT,DEPARTMENT OF POLICE,129666
WATER METER ASSESSOR,DEPT OF WATER MANAGEMENT,77736
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,133860
TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,44292
PAYMENT SERVICES REPRESENTATIVE,CITY CLERK,62460
PROGRAM AUDITOR II,FAMILY AND SUPPORT SERVICES,62784
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
LIEUTENANT,DEPARTMENT OF POLICE,150318
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,64272
ASSOCIATE HUMAN RESOURCES BUSINESS PARTNER-EXCLD,DEPT OF WATER MANAGEMENT,94704
PUBLIC HEALTH ADMINISTRATOR II,DEPARTMENT OF PUBLIC HEALTH,68940
COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,DEPARTMENT OF PUBLIC HEALTH,64740
SERGEANT,DEPARTMENT OF POLICE,129666
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
SERGEANT,DEPARTMENT OF POLICE,133860
EDITORIAL ASST,CITY CLERK,52176
TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,44292
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
ASST DISTRICT SUPERINTENDENT,DEPT OF WATER MANAGEMENT,120536.04
POLICE OFFICER,DEPARTMENT OF POLICE,101412
PROJECT COORD,DEPARTMENT OF PUBLIC HEALTH,66804
STAFF ASST,DEPARTMENT OF PUBLIC HEALTH,99360
SERGEANT,DEPARTMENT OF POLICE,117900
AIRPORT FACILITIES MANAGER,DEPARTMENT OF AVIATION,75996
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,117900
SENIOR FINANCIAL ANALYST,OFFICE OF BUDGET & MANAGEMENT,78000
SERGEANT,DEPARTMENT OF POLICE,121806
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,101412
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,129666
LIEUTENANT,DEPARTMENT OF POLICE,141552
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,125634
LIEUTENANT,DEPARTMENT OF POLICE,150318
LIEUTENANT,DEPARTMENT OF POLICE,150318
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,125634
LIEUTENANT,DEPARTMENT OF POLICE,145854
POLICE OFFICER,DEPARTMENT OF POLICE,101412
CAPTAIN,DEPARTMENT OF POLICE,163506
SERGEANT,DEPARTMENT OF POLICE,125634
DIR OF ADMINISTRATION II,DEPARTMENT OF FINANCE,114012
LIEUTENANT,DEPARTMENT OF POLICE,145854
SERGEANT,DEPARTMENT OF POLICE,117900
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,121806
CAPTAIN,DEPARTMENT OF POLICE,163506
SHIFT SUPVSR OF SECURITY COMMUNICATIONS CENTER,DEPARTMENT OF AVIATION,91908
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,133860
SUPERVISING TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,68196
LIEUTENANT,DEPARTMENT OF POLICE,141552
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,121806
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,101412
SERGEANT,DEPARTMENT OF POLICE,125634
SUPERVISING TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,68196
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,125634
EMERGENCY MANAGEMENT COMMUNICATIONS OFFICER,OFFICE OF EMERGENCY MANAGEMENT,82500
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,125634
LIEUTENANT,DEPARTMENT OF POLICE,150318
LIEUTENANT,DEPARTMENT OF POLICE,141552
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,61308
POLICE OFFICER,DEPARTMENT OF POLICE,101412
AVIATION SURVEILLANCE SPECIALIST,DEPARTMENT OF AVIATION,52956
LIEUTENANT,DEPARTMENT OF POLICE,141552
POLICE OFFICER/EXPLSV DETECT K9 HNDLR,DEPARTMENT OF POLICE,117690
LEGISLATIVE AIDE,CITY COUNCIL,120000
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
LIEUTENANT,DEPARTMENT OF POLICE,145854
LIEUTENANT,DEPARTMENT OF POLICE,141552
SERGEANT,DEPARTMENT OF POLICE,133860
SENIOR BUSINESS CONSULTANT,BUS AFFAIRS AND CONSUMER PROT,74424
POLICE OFFICER,DEPARTMENT OF POLICE,111966
SERGEANT,DEPARTMENT OF POLICE,125634
LIEUTENANT,DEPARTMENT OF POLICE,150318
SERGEANT,DEPARTMENT OF POLICE,117900
ASST CORPORATION COUNSEL II,DEPARTMENT OF LAW,101880
SERGEANT,DEPARTMENT OF POLICE,129666
OCCUPATIONAL HEALTH NURSE,PUBLIC SAFETY ADMINISTRATION,79332
CONTRACTS COORD,DEPARTMENT OF FINANCE,137484
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
CULTURAL AFFAIRS COORD II,DEPT OF CULTURAL AFFAIRS,73332
ASST DISTRICT SUPERINTENDENT,DEPT OF WATER MANAGEMENT,120536.04
LIEUTENANT,DEPARTMENT OF POLICE,145854
PROJECT COORD,CHICAGO DEPT OF TRANSPORTATION,103920
SERGEANT,DEPARTMENT OF POLICE,125634
FINANCIAL PLANNING ANALYST - EXCLD,DEPT OF HOUSING,97260
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
LIEUTENANT,DEPARTMENT OF POLICE,150318
SERGEANT,DEPARTMENT OF POLICE,121806
LIEUTENANT,DEPARTMENT OF POLICE,145854
LIEUTENANT,DEPARTMENT OF POLICE,150318
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,121806
LIEUTENANT,DEPARTMENT OF POLICE,145854
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,125634
LIEUTENANT,DEPARTMENT OF POLICE,150318
POLICE OFFICER,DEPARTMENT OF POLICE,84522
LIEUTENANT,DEPARTMENT OF POLICE,150318
SERGEANT,DEPARTMENT OF POLICE,133860
LIEUTENANT,DEPARTMENT OF POLICE,145854
POLICE OFFICER,DEPARTMENT OF POLICE,56040
PERFORMANCE ANALYST,IG,72960
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,129666
LIEUTENANT,DEPARTMENT OF POLICE,150318
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,121806
LIEUTENANT,DEPARTMENT OF POLICE,145854
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,125634
LIEUTENANT,DEPARTMENT OF POLICE,145854
LIEUTENANT,DEPARTMENT OF POLICE,150318
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
SERGEANT,DEPARTMENT OF POLICE,133860
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,96402
LIEUTENANT,DEPARTMENT OF POLICE,150318
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,129666
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,87348
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE OFFICER,DEPARTMENT OF POLICE,111966
SERGEANT,DEPARTMENT OF POLICE,133860
ASST DISTRICT SUPERINTENDENT,DEPT OF WATER MANAGEMENT,120536.04
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
SERGEANT,DEPARTMENT OF POLICE,121806
RESEARCH AND POLICY ANALYST - CPD,DEPARTMENT OF POLICE,93000
SENIOR PROGRAMMER/ANALYST,DEPARTMENT OF FINANCE,117432
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,56040
TRAFFIC SIGNAL REPAIRMAN,CHICAGO DEPT OF TRANSPORTATION,117624
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
LIEUTENANT,FIRE DEPARTMENT,127410
SERGEANT,DEPARTMENT OF POLICE,133860
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
POLICE OFFICER,DEPARTMENT OF POLICE,56040
PROJECT COORD,FAMILY AND SUPPORT SERVICES,66804
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
SERGEANT,DEPARTMENT OF POLICE,125634
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
LIEUTENANT,FIRE DEPARTMENT,123420
LIEUTENANT,FIRE DEPARTMENT,123420
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,129666
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
SERGEANT,DEPARTMENT OF POLICE,133860
LIEUTENANT,DEPARTMENT OF POLICE,145854
POLICE OFFICER,DEPARTMENT OF POLICE,56040
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
LIEUTENANT,DEPARTMENT OF POLICE,141552
POLICE OFFICER,DEPARTMENT OF POLICE,56040
PROPERTY CUSTODIAN - AUTO POUND,DEPT STREETS AND SANITATION,48996
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,125634
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,133860
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
SERGEANT,DEPARTMENT OF POLICE,129666
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
POLICE OFFICER,DEPARTMENT OF POLICE,56040
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
LIEUTENANT,FIRE DEPARTMENT,127410
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,101412
LIEUTENANT,FIRE DEPARTMENT,119580
PROGRAM DIR,DEPARTMENT OF PUBLIC HEALTH,119436
SERGEANT,DEPARTMENT OF POLICE,133860
LIEUTENANT,DEPARTMENT OF POLICE,145854
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE OFFICER,DEPARTMENT OF POLICE,56040
DEPUTY CHIEF,DEPARTMENT OF POLICE,183984
LIEUTENANT,DEPARTMENT OF POLICE,145854
FIRE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,75816
SERGEANT,DEPARTMENT OF POLICE,125634
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
LIEUTENANT-PARAMEDIC,FIRE DEPARTMENT,138378
LIEUTENANT,FIRE DEPARTMENT,119580
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
DIGITAL INTELLIGENCE ANALYST,DEPARTMENT OF POLICE,77892
SERGEANT,DEPARTMENT OF POLICE,129666
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
LIEUTENANT,FIRE DEPARTMENT,127410
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
SERGEANT,DEPARTMENT OF POLICE,121806
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,56040
LIEUTENANT,FIRE DEPARTMENT,127410
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,125634
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
SERGEANT,DEPARTMENT OF POLICE,125634
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
LIEUTENANT,DEPARTMENT OF POLICE,150318
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,129666
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
LIEUTENANT,DEPARTMENT OF POLICE,145854
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,56040
LIEUTENANT,FIRE DEPARTMENT,123420
LIEUTENANT,FIRE DEPARTMENT,127410
POLICE OFFICER,DEPARTMENT OF POLICE,56040
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
POLICE OFFICER,DEPARTMENT OF POLICE,56040
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
SERGEANT,DEPARTMENT OF POLICE,121806
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,133860
SR TESTING / ASSESSMENT SPEC,DEPARTMENT OF HUMAN RESOURCES,101580
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,125634
CAPTAIN,DEPARTMENT OF POLICE,163506
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,121806
SERGEANT,DEPARTMENT OF POLICE,121806
POLICE OFFICER,DEPARTMENT OF POLICE,56040
LIEUTENANT,DEPARTMENT OF POLICE,145854
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,117900
LIEUTENANT,DEPARTMENT OF POLICE,145854
LIEUTENANT,DEPARTMENT OF POLICE,145854
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,129666
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
LIEUTENANT,DEPARTMENT OF POLICE,145854
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,125634
LIEUTENANT,DEPARTMENT OF POLICE,150318
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,111966
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,125634
LIEUTENANT,DEPARTMENT OF POLICE,145854
SERGEANT,DEPARTMENT OF POLICE,133860
LIEUTENANT,DEPARTMENT OF POLICE,150318
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
LIEUTENANT,DEPARTMENT OF POLICE,150318
LIEUTENANT,DEPARTMENT OF POLICE,145854
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,56040
TESTING SPECIALIST,DEPARTMENT OF HUMAN RESOURCES,78000
POLICE OFFICER,DEPARTMENT OF POLICE,56040
LIEUTENANT,DEPARTMENT OF POLICE,141552
POLICE OFFICER,DEPARTMENT OF POLICE,101412
SUPERVISING PARALEGAL,DEPARTMENT OF LAW,103920
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
POLICE OFFICER,DEPARTMENT OF POLICE,56040
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,78384
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,129666
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
SERGEANT,DEPARTMENT OF POLICE,121806
POLICE OFFICER,DEPARTMENT OF POLICE,56040
COMPLIANCE OFFICER,DEPARTMENT OF HUMAN RESOURCES,93000
POLICE OFFICER,DEPARTMENT OF POLICE,56040
CHIEF FINANCIAL OFFICER,OFFICE OF THE MAYOR,183840
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,87348
SANITARY ENGINEER IV,DEPT OF WATER MANAGEMENT,93804
LIEUTENANT,DEPARTMENT OF POLICE,137316
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
LIEUTENANT,DEPARTMENT OF POLICE,145854
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
SUPVSR OF ACCOUNTING,DEPT OF WATER MANAGEMENT,97260
POLICE OFFICER,DEPARTMENT OF POLICE,101412
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,74844
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
LIEUTENANT,DEPARTMENT OF POLICE,150318
SERGEANT,DEPARTMENT OF POLICE,133860
LIEUTENANT,DEPARTMENT OF POLICE,150318
SERGEANT,DEPARTMENT OF POLICE,133860
RESEARCH AND POLICY ANALYST - CPD,DEPARTMENT OF POLICE,93000
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,125634
LIEUTENANT,DEPARTMENT OF POLICE,150318
SERGEANT,DEPARTMENT OF POLICE,117900
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,56040
LIEUTENANT,DEPARTMENT OF POLICE,145854
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,125634
PROPERTY CUSTODIAN - AUTO POUND,DEPT STREETS AND SANITATION,78804
SERGEANT,DEPARTMENT OF POLICE,121806
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,117900
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE OFFICER,DEPARTMENT OF POLICE,111966
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,129666
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
PROJECT COORD,DEPARTMENT OF PLANNING AND DEVELOPMENT,75996
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIELD SANITATION INVESTIGATOR,DEPT STREETS AND SANITATION,97980
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
PARAMEDIC I/C,FIRE DEPARTMENT,104430
POLICE OFFICER,DEPARTMENT OF POLICE,56040
PROJECT COORD,DEPARTMENT OF AVIATION,63780
SERGEANT,DEPARTMENT OF POLICE,129666
COMMANDER,DEPARTMENT OF POLICE,175944
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,129666
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
AIRPORT OPERATIONS SUPVSR II,DEPARTMENT OF AVIATION,88440
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,86280
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,125634
RESEARCH AND POLICY ANALYST - CPD,DEPARTMENT OF POLICE,93000
SERGEANT,DEPARTMENT OF POLICE,133860
LIEUTENANT,DEPARTMENT OF POLICE,145854
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,125634
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,117900
SANITATION CLERK,DEPT STREETS AND SANITATION,48408
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,56040
LIEUTENANT,DEPARTMENT OF POLICE,145854
